id,input_path,maze_type,output_path
id_0,"['<ADJLIST_START>', '(1,5)', '<-->', '(2,5)', ';', '(0,0)', '<-->', '(0,1)', ';', '(2,1)', '<-->', '(2,2)', ';', '(2,3)', '<-->', '(1,3)', ';', '(3,4)', '<-->', '(3,5)', ';', '(0,2)', '<-->', '(1,2)', ';', '(0,3)', '<-->', '(0,2)', ';', '(3,4)', '<-->', '(3,3)', ';', '(2,1)', '<-->', '(2,0)', ';', '(1,4)', '<-->', '(2,4)', ';', '(0,3)', '<-->', '(0,4)', ';', '(2,3)', '<-->', '(2,4)', ';', '(3,3)', '<-->', '(3,2)', ';', '(2,0)', '<-->', '(1,0)', ';', '(1,0)', '<-->', '(0,0)', ';', '(1,5)', '<-->', '(0,5)', ';', '(2,2)', '<-->', '(3,2)', ';', '(1,1)', '<-->', '(1,2)', ';', '(0,4)', '<-->', '(1,4)', ';', '(2,5)', '<-->', '(3,5)', ';', '(1,1)', '<-->', '(0,1)', ';', '<ADJLIST_END>', '<ORIGIN_START>', '(0,4)', '<ORIGIN_END>', '<TARGET_START>', '(0,5)', '<TARGET_END>', '<PATH_START>']",forkless,"['(0,4)', '(0,5)', '<PATH_END>', '<PATH_END>']"
id_1,"['<ADJLIST_START>', '(4,4)', '<-->', '(3,4)', ';', '(4,3)', '<-->', '(4,2)', ';', '(5,1)', '<-->', '(5,2)', ';', '(5,4)', '<-->', '(5,3)', ';', '(3,4)', '<-->', '(3,3)', ';', '(2,4)', '<-->', '(2,5)', ';', '(4,1)', '<-->', '(4,0)', ';', '(5,4)', '<-->', '(4,4)', ';', '(1,4)', '<-->', '(1,5)', ';', '(2,1)', '<-->', '(2,0)', ';', '(2,3)', '<-->', '(2,2)', ';', '(3,1)', '<-->', '(3,2)', ';', '(4,2)', '<-->', '(4,1)', ';', '(5,5)', '<-->', '(5,4)', ';', '(1,0)', '<-->', '(0,0)', ';', '(0,0)', '<-->', '(0,1)', ';', '(1,2)', '<-->', '(1,1)', ';', '(3,3)', '<-->', '(3,2)', ';', '(1,1)', '<-->', '(0,1)', ';', '(0,2)', '<-->', '(0,3)', ';', '(2,0)', '<-->', '(1,0)', ';', '(5,0)', '<-->', '(4,0)', ';', '(1,4)', '<-->', '(1,3)', ';', '(0,5)', '<-->', '(0,4)', ';', '(2,3)', '<-->', '(1,3)', ';', '(2,1)', '<-->', '(3,1)', ';', '(0,3)', '<-->', '(0,4)', ';', '(3,5)', '<-->', '(2,5)', ';', '(0,5)', '<-->', '(1,5)', ';', '(4,0)', '<-->', '(3,0)', ';', '(5,2)', '<-->', '(5,3)', ';', '(2,4)', '<-->', '(2,3)', ';', '(5,5)', '<-->', '(4,5)', ';', '(5,1)', '<-->', '(4,1)', ';', '(4,5)', '<-->', '(3,5)', ';', '<ADJLIST_END>', '<ORIGIN_START>', '(4,3)', '<ORIGIN_END>', '<TARGET_START>', '(1,0)', '<TARGET_END>', '<PATH_START>']",forked,"['(4,3)', '(4,2)', '(3,2)', '(3,1)', '(2,1)', '(2,0)', '(1,0)', '<PATH_END>', '<PATH_END>']"
id_2,"['<ADJLIST_START>', '(1,4)', '<-->', '(0,4)', ';', '(3,3)', '<-->', '(3,2)', ';', '(3,1)', '<-->', '(4,1)', ';', '(0,3)', '<-->', '(0,4)', ';', '(4,5)', '<-->', '(5,5)', ';', '(1,1)', '<-->', '(1,0)', ';', '(1,0)', '<-->', '(2,0)', ';', '(3,2)', '<-->', '(4,2)', ';', '(5,5)', '<-->', '(5,4)', ';', '(4,3)', '<-->', '(5,3)', ';', '(4,2)', '<-->', '(4,1)', ';', '(1,2)', '<-->', '(1,3)', ';', '(5,3)', '<-->', '(5,4)', ';', '(1,3)', '<-->', '(1,4)', ';', '(3,1)', '<-->', '(3,0)', ';', '(4,5)', '<-->', '(3,5)', ';', '(0,3)', '<-->', '(0,2)', ';', '(0,0)', '<-->', '(0,1)', ';', '(1,2)', '<-->', '(1,1)', ';', '(0,2)', '<-->', '(0,1)', ';', '(3,5)', '<-->', '(3,4)', ';', '(3,0)', '<-->', '(2,0)', ';', '(3,4)', '<-->', '(3,3)', ';', '<ADJLIST_END>', '<ORIGIN_START>', '(5,3)', '<ORIGIN_END>', '<TARGET_START>', '(1,0)', '<TARGET_END>', '<PATH_START>']",forkless,"['(5,3)', '(5,4)', '(5,5)', '(4,5)', '(3,5)', '(3,4)', '(3,3)', '(3,2)', '(3,1)', '(3,0)', '(2,0)', '(1,0)', '<PATH_END>', '<PATH_END>']"
id_3,"['<ADJLIST_START>', '(5,4)', '<-->', '(5,5)', ';', '(2,5)', '<-->', '(3,5)', ';', '(2,3)', '<-->', '(2,2)', ';', '(0,1)', '<-->', '(0,2)', ';', '(5,1)', '<-->', '(5,0)', ';', '(4,5)', '<-->', '(5,5)', ';', '(3,4)', '<-->', '(2,4)', ';', '(2,5)', '<-->', '(1,5)', ';', '(4,1)', '<-->', '(4,0)', ';', '(3,1)', '<-->', '(4,1)', ';', '(3,5)', '<-->', '(4,5)', ';', '(0,2)', '<-->', '(0,3)', ';', '(1,4)', '<-->', '(0,4)', ';', '(3,4)', '<-->', '(4,4)', ';', '(3,2)', '<-->', '(3,1)', ';', '(1,1)', '<-->', '(0,1)', ';', '(2,1)', '<-->', '(2,0)', ';', '(1,3)', '<-->', '(0,3)', ';', '(0,5)', '<-->', '(0,4)', ';', '(4,4)', '<-->', '(4,3)', ';', '(2,4)', '<-->', '(1,4)', ';', '(0,5)', '<-->', '(1,5)', ';', '(5,1)', '<-->', '(5,2)', ';', '(1,0)', '<-->', '(1,1)', ';', '(1,0)', '<-->', '(2,0)', ';', '(5,0)', '<-->', '(4,0)', ';', '(5,3)', '<-->', '(5,2)', ';', '(5,3)', '<-->', '(5,4)', ';', '(1,3)', '<-->', '(2,3)', ';', '(2,2)', '<-->', '(3,2)', ';', '<ADJLIST_END>', '<ORIGIN_START>', '(2,4)', '<ORIGIN_END>', '<TARGET_START>', '(5,0)', '<TARGET_END>', '<PATH_START>']",forkless,"['(2,4)', '(3,4)', '(4,4)', '(4,5)', '(5,5)', '(5,4)', '(5,3)', '(5,2)', '(5,1)', '(5,0)', '<PATH_END>', '<PATH_END>']"
id_4,"['<ADJLIST_START>', '(0,5)', '<-->', '(1,5)', ';', '(1,5)', '<-->', '(2,5)', ';', '(2,5)', '<-->', '(2,4)', ';', '(1,4)', '<-->', '(0,4)', ';', '(1,4)', '<-->', '(1,3)', ';', '(2,3)', '<-->', '(2,4)', ';', '(1,3)', '<-->', '(2,3)', ';', '<ADJLIST_END>', '<ORIGIN_START>', '(0,5)', '<ORIGIN_END>', '<TARGET_START>', '(1,4)', '<TARGET_END>', '<PATH_START>']",forkless,"['(0,5)', '(1,5)', '(2,5)', '(2,4)', '(2,3)', '(1,3)', '(1,4)', '<PATH_END>', '<PATH_END>']"
id_5,"['<ADJLIST_START>', '(3,4)', '<-->', '(3,3)', ';', '(5,0)', '<-->', '(4,0)', ';', '(0,0)', '<-->', '(0,1)', ';', '(3,1)', '<-->', '(3,0)', ';', '(1,1)', '<-->', '(1,0)', ';', '(1,3)', '<-->', '(1,4)', ';', '(0,2)', '<-->', '(0,1)', ';', '(2,4)', '<-->', '(2,3)', ';', '(5,1)', '<-->', '(4,1)', ';', '(0,3)', '<-->', '(0,4)', ';', '(5,2)', '<-->', '(5,1)', ';', '(4,5)', '<-->', '(3,5)', ';', '(4,2)', '<-->', '(5,2)', ';', '(1,2)', '<-->', '(1,3)', ';', '(3,4)', '<-->', '(3,5)', ';', '(2,3)', '<-->', '(2,2)', ';', '(3,0)', '<-->', '(2,0)', ';', '(1,5)', '<-->', '(2,5)', ';', '(1,2)', '<-->', '(1,1)', ';', '(0,5)', '<-->', '(0,4)', ';', '(2,4)', '<-->', '(2,5)', ';', '(2,2)', '<-->', '(3,2)', ';', '(5,4)', '<-->', '(5,3)', ';', '(1,5)', '<-->', '(0,5)', ';', '(4,1)', '<-->', '(3,1)', ';', '(4,0)', '<-->', '(3,0)', ';', '(5,5)', '<-->', '(5,4)', ';', '(4,4)', '<-->', '(4,5)', ';', '(2,0)', '<-->', '(2,1)', ';', '(5,4)', '<-->', '(4,4)', ';', '(0,2)', '<-->', '(0,3)', ';', '(0,4)', '<-->', '(1,4)', ';', '(5,3)', '<-->', '(4,3)', ';', '(3,2)', '<-->', '(3,3)', ';', '(4,3)', '<-->', '(4,2)', ';', '<ADJLIST_END>', '<ORIGIN_START>', '(1,5)', '<ORIGIN_END>', '<TARGET_START>', '(3,5)', '<TARGET_END>', '<PATH_START>']",forked,"['(1,5)', '(0,5)', '(0,4)', '(1,4)', '(1,3)', '(2,3)', '(2,2)', '(1,2)', '(1,1)', '(2,1)', '(2,0)', '(3,0)', '(3,1)', '(3,2)', '(3,3)', '(3,4)', '(2,4)', '(2,5)', '(3,5)', '<PATH_END>', '<PATH_END>']"
id_6,"['<ADJLIST_START>', '(4,2)', '<-->', '(5,2)', ';', '(0,3)', '<-->', '(0,4)', ';', '(3,5)', '<-->', '(4,5)', ';', '(5,5)', '<-->', '(4,5)', ';', '(3,1)', '<-->', '(3,0)', ';', '(5,2)', '<-->', '(5,3)', ';', '(2,0)', '<-->', '(3,0)', ';', '(2,2)', '<-->', '(3,2)', ';', '(1,0)', '<-->', '(0,0)', ';', '(5,4)', '<-->', '(5,5)', ';', '(3,2)', '<-->', '(3,3)', ';', '(0,5)', '<-->', '(0,4)', ';', '(3,2)', '<-->', '(4,2)', ';', '(5,0)', '<-->', '(4,0)', ';', '(4,4)', '<-->', '(4,3)', ';', '(2,0)', '<-->', '(1,0)', ';', '(3,1)', '<-->', '(2,1)', ';', '(4,3)', '<-->', '(5,3)', ';', '(1,5)', '<-->', '(2,5)', ';', '(2,3)', '<-->', '(3,3)', ';', '(2,4)', '<-->', '(3,4)', ';', '(2,4)', '<-->', '(1,4)', ';', '(1,1)', '<-->', '(1,2)', ';', '(0,4)', '<-->', '(1,4)', ';', '(5,1)', '<-->', '(4,1)', ';', '(4,4)', '<-->', '(3,4)', ';', '(0,1)', '<-->', '(0,0)', ';', '(2,5)', '<-->', '(3,5)', ';', '(4,0)', '<-->', '(4,1)', ';', '(5,2)', '<-->', '(5,1)', ';', '(0,1)', '<-->', '(0,2)', ';', '(2,3)', '<-->', '(1,3)', ';', '(1,5)', '<-->', '(0,5)', ';', '(1,2)', '<-->', '(1,3)', ';', '(0,2)', '<-->', '(1,2)', ';', '<ADJLIST_END>', '<ORIGIN_START>', '(1,1)', '<ORIGIN_END>', '<TARGET_START>', '(4,0)', '<TARGET_END>', '<PATH_START>']",forked,"['(1,1)', '(1,2)', '(1,3)', '(2,3)', '(3,3)', '(3,2)', '(4,2)', '(5,2)', '(5,1)', '(4,1)', '(3,1)', '(3,0)', '(4,0)', '<PATH_END>', '<PATH_END>']"
id_7,"['<ADJLIST_START>', '(4,0)', '<-->', '(4,1)', ';', '(4,1)', '<-->', '(4,2)', ';', '(5,0)', '<-->', '(5,1)', ';', '(5,2)', '<-->', '(4,2)', ';', '(5,2)', '<-->', '(5,1)', ';', '<ADJLIST_END>', '<ORIGIN_START>', '(5,0)', '<ORIGIN_END>', '<TARGET_START>', '(4,1)', '<TARGET_END>', '<PATH_START>']",forkless,"['(5,0)', '(5,1)', '(5,2)', '(4,2)', '(4,1)', '<PATH_END>', '<PATH_END>']"
id_8,"['<ADJLIST_START>', '(2,0)', '<-->', '(2,1)', ';', '(0,1)', '<-->', '(0,0)', ';', '(0,4)', '<-->', '(0,3)', ';', '(3,1)', '<-->', '(2,1)', ';', '(1,5)', '<-->', '(2,5)', ';', '(1,0)', '<-->', '(0,0)', ';', '(1,2)', '<-->', '(0,2)', ';', '(3,1)', '<-->', '(4,1)', ';', '(4,0)', '<-->', '(3,0)', ';', '(2,3)', '<-->', '(1,3)', ';', '(4,1)', '<-->', '(4,0)', ';', '(2,0)', '<-->', '(1,0)', ';', '(2,5)', '<-->', '(2,4)', ';', '(0,4)', '<-->', '(0,5)', ';', '(0,5)', '<-->', '(1,5)', ';', '(0,2)', '<-->', '(0,1)', ';', '(2,4)', '<-->', '(2,3)', ';', '(1,2)', '<-->', '(1,3)', ';', '<ADJLIST_END>', '<ORIGIN_START>', '(1,3)', '<ORIGIN_END>', '<TARGET_START>', '(4,1)', '<TARGET_END>', '<PATH_START>']",forkless,"['(1,3)', '(1,2)', '(0,2)', '(0,1)', '(0,0)', '(1,0)', '(2,0)', '(2,1)', '(3,1)', '(4,1)', '<PATH_END>', '<PATH_END>']"
id_9,"['<ADJLIST_START>', '(1,3)', '<-->', '(2,3)', ';', '(3,3)', '<-->', '(4,3)', ';', '(3,2)', '<-->', '(2,2)', ';', '(4,2)', '<-->', '(5,2)', ';', '(0,4)', '<-->', '(0,5)', ';', '(3,0)', '<-->', '(4,0)', ';', '(5,5)', '<-->', '(5,4)', ';', '(3,1)', '<-->', '(4,1)', ';', '(5,3)', '<-->', '(5,2)', ';', '(1,1)', '<-->', '(1,2)', ';', '(0,0)', '<-->', '(0,1)', ';', '(4,5)', '<-->', '(4,4)', ';', '(1,5)', '<-->', '(0,5)', ';', '(3,5)', '<-->', '(2,5)', ';', '(0,2)', '<-->', '(1,2)', ';', '(0,0)', '<-->', '(1,0)', ';', '(4,4)', '<-->', '(3,4)', ';', '(3,2)', '<-->', '(4,2)', ';', '(2,3)', '<-->', '(3,3)', ';', '(1,0)', '<-->', '(2,0)', ';', '(0,4)', '<-->', '(0,3)', ';', '(2,4)', '<-->', '(3,4)', ';', '(5,1)', '<-->', '(5,2)', ';', '(2,1)', '<-->', '(2,0)', ';', '(2,1)', '<-->', '(2,2)', ';', '(4,0)', '<-->', '(5,0)', ';', '(4,3)', '<-->', '(5,3)', ';', '(5,0)', '<-->', '(5,1)', ';', '(5,4)', '<-->', '(4,4)', ';', '(1,4)', '<-->', '(2,4)', ';', '(0,3)', '<-->', '(1,3)', ';', '(1,1)', '<-->', '(1,0)', ';', '(2,5)', '<-->', '(1,5)', ';', '(3,1)', '<-->', '(3,0)', ';', '(3,5)', '<-->', '(4,5)', ';', '<ADJLIST_END>', '<ORIGIN_START>', '(0,3)', '<ORIGIN_END>', '<TARGET_START>', '(2,0)', '<TARGET_END>', '<PATH_START>']",forked,"['(0,3)', '(0,4)', '(0,5)', '(1,5)', '(2,5)', '(3,5)', '(4,5)', '(4,4)', '(3,4)', '(2,4)', '(2,3)', '(3,3)', '(4,3)', '(4,2)', '(5,2)', '(5,1)', '(5,0)', '(4,0)', '(3,0)', '(2,0)', '<PATH_END>', '<PATH_END>']"
